"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"IRN",1968,16.8356822064214,51.7919010634652,51.758936369104,3364692.32973004,5856134.67926395,5885071.63080169,9211130,801669242.5,792458112.5,5.38435504946336,0.00865812444597656,9.22,-42.4437400376431,-5.6087963203746
"IRN",1978,16.0157039588089,44.2676454830953,44.6205082539206,4028695.76374203,7219199.90575463,7259716.04023465,10690263.7,858746054.7,848055791,6.17025108063524,0.0279410268980619,10.079,-41.2954911130948,-4.98775545966615
"IRN",1988,15.4287310540608,43.9704155752476,43.2353776054114,5135425.41924923,8404446.83284175,8454010.52925779,12629678,843742954.3,831113276.3,7.7770690582053,0.0370384983569481,11.303,-23.4656229973797,-7.05640365391454
"IRN",1998,17.2229037781369,59.2746278563456,58.7968281312031,6654024.77444121,9228672.31411215,9262667.38446608,12903377.8,980002589.1,967099211.3,10.3976358090935,0.0564003008006315,14.184,-54.5379536639682,-5.85760779104234
"IRN",2008,11.8600066690273,67.8222246853829,68.240263847867,6513740.88097169,10714263.4001032,10763645.0560956,12705726.5,1095771800.8,1083066074.3,10.2530147882257,0.0443041199118927,20.3622222222222,-38.0962954540457,-6.37008229171803
"IRQ",1968,6.5246016582491,48.6158069405622,48.8227333930652,3274003.07180866,5687619.75854676,5694541.93806878,2362976.4,796632445.9,794269469.5,4.47115842426992,0.00410899828900296,16.703,-50.2504973628817,-3.82571746165233
"IRQ",1978,11.9369203899583,43.4233274852475,43.5525422125013,2832840.9756428,7157759.57082602,7170117.80850395,2603171.9,917285938.4,914682766.5,4.90038701290911,0.0160510636735743,18.449,-39.6142055921257,-5.09603925664051
"IRQ",1988,10.019415050748,43.5954065002813,43.5640964565737,3034035.41937589,8120100.28649664,8141889.45334167,3868076.5,925927619.2,922059542.7,5.93575625777186,0.0343704225352113,35.755,-34.7668943605731,-4.10457678903546
"IRQ",1998,5.5122829515815,55.6287963662395,55.5472381281247,3490431.23098908,8886497.77463417,8906793.54004593,3646282.1,969541414.7,965895132.6,6.60916466030607,0.0469186903279369,40.021,-54.4387361117694,-4.84967286784218
"IRQ",2008,13.3432504613873,76.6163318147387,76.2201147269434,6274013.68834147,10634578.7686266,10645430.6433494,2657048.7,1084719663.6,1082062614.9,6.92815548493531,0.0279266669117068,40.7544444444444,-31.9759223536477,-8.74708138964007
"ISR",1968,11.0696813591159,39.1801753474833,39.1664156926335,7402632.89031109,5919562.885539,5918843.04863329,318193.7,657731217.6,657413023.9,14.825934055076,0.0796205314009662,33.297,-86.4608691436971,-5.34383434129256
"ISR",1978,10.4117114552631,36.2834411798334,36.1999600182204,8320029.52643805,7014274.86186609,7013651.73216461,322677.4,677523354.9,677200677.5,16.2553946053477,0.10800981095956,38.773,-53.4199906346568,-4.72838613801405
"ISR",1988,10.2192940948293,36.4336940992323,36.4349490164626,8806362.21653468,7995477.11830098,7995120.03848301,286528,651238324.1,650951796.1,19.7704284358185,0.116553817417698,34.439,-49.7757686072281,-3.71327123307812
"ISR",1998,19.1903059219177,44.4109124822435,44.4200962272985,8823038.56753553,8950962.50341588,8951011.60835307,285472,691756032.7,691470560.7,23.609570011756,0.123874818121285,39.852,-76.962091424896,-4.43325135923887
"ISR",2008,14.1658673385359,62.5038951843059,62.3851059858481,8324689.35999186,7910750.74478759,7910557.16808443,291063.9,580187111.4,579896047.5,22.4278452656251,0.111023701974319,43.0088888888889,-40.1017243287316,-4.22391641307267
"ITA",1968,40.8219742719059,48.6298516094308,47.7477956892337,7870737.57108349,5836846.79777464,5812480.89159202,10471682.6,877773010.6,867301328,11.5439935249892,0.0499456463817542,18.616,-72.1682240494441,-8.51633387685018
"ITA",1978,36.4936126288428,43.9315176870115,42.8186532538589,9755812.19929573,7101841.91418318,7074203.2266852,9596693.6,931028083.4,921431389.8,12.0627778489025,0.083346894447834,20.161,-29.1969859925384,-8.34244442886954
"ITA",1988,26.5564928664421,42.9565183485245,42.1915271198861,11228545.8899049,8407698.07091295,8378839.92919769,8753426.5,862377826.8,853624400.3,14.3717688610942,0.0770711486545328,23.194,-32.8956167565458,-8.96582456317901
"ITA",1998,15.6308678174238,54.7995525074599,55.8101073209866,12441881.4263805,9368322.77982717,9341108.83744067,8104305.4,926022511.3,917918205.9,14.0984297487618,0.0774977221489443,25.958,-35.2284036934577,-10.6970972731657
"ITA",2008,25.3640579582855,66.89961524101,66.5955253347768,12265614.3968922,10759727.7222837,10749235.0065929,7013944.3,1038744044,1031730099.7,14.3313019560704,0.0616691689551368,28.7166666666667,-43.8311788854316,-6.69986511845455
