"Area","timePeriod","cluster","cv0","yield0","cv1","yield1","cv2","yield2","cv3","yield3","cv4","yield4","cv5","yield5","cv6","yield6","cv7","yield7","cv8","yield8","cv9","yield9"
"Samoa",1985,2,0.167087097951342,6844834.0783572,0.0451032387771626,9799582.8724044,0.0601306090946155,6788332.17356704,0.0593582110794693,18021923.97425,0.100762462751514,9203878.99009031,0.0162473912842643,7907067.58609863,0.0438554776741283,5954095.93367746,0.0360149864792797,7043914.00202353,0.0690011055465217,7702088.53645707,0.167087097951342,6844834.0783572
"Viet Nam",1977,2,0.0689466590791433,5932523.15484907,0.0331539163729546,6460424.29281317,0.0196855294536638,5418029.44182123,0.112864684575411,13592902.0772573,0.0419618717178754,7867549.48367346,0.0312596895245401,5406022.78045723,0.0306361735092089,4897453.33696935,0.0426880730696087,10522261.2333713,0.0524498316247449,11224099.5705303,0.0689466590791433,5932523.15484907
"Puerto Rico",1961,2,0.0516560363280672,11916637.6461364,0.0257660275568164,4985761.00118855,0.122880322553118,5162543.27822091,0.0253984204019242,6286473.59067001,0.0535580194999059,5647851.7630543,0.0250585634740482,4773235.7011775,0.0179839832611947,4857475.04575223,0.0357539303853226,9714969.28943693,0.0384263731282706,9788873.11698868,0.0516560363280672,11916637.6461364
"Samoa",2001,2,0.00897204574860913,7871961.15493713,0.0401865780201221,9589848.35798384,0.0251998655073083,6945339.46708861,0.0615521697040896,15983602.2865865,0.0516477377536455,15369492.4897327,0.0359939765671987,8949513.81463176,0.0192056626053773,7741272.77564712,0.0412785472451084,5546061.01150727,0.0590054350995206,5413257.90418012,0.00897204574860913,7871961.15493713
"Guadeloupe",2001,2,0.0855294900169943,13426247.3159965,0.0382370043166876,8997821.22758462,0.0256001097590461,5993634.84193539,0.0328108487992604,10184449.3128864,0.0401571384822592,10294333.7535271,0.0264250090086307,8578975.16842625,0.0165527083950286,6286065.96868583,0.0179875295030799,5808743.5059845,0.0366695499048246,5471759.73991287,0.0855294900169943,13426247.3159965
"Niger",1985,2,0.144568724645347,1056718.18968366,0.0262541408825776,6123662.7611605,0.0311454277042696,5579898.36386164,0.0876575928296425,12878083.3778851,0.0823551418004447,5472681.94528637,0.0208126108098866,5998522.54205298,0.0347481587867058,6859798.64075827,0.0297419669302427,11895129.7747644,0.0359933139114717,8245123.135925,0.144568724645347,1056718.18968366
"Sao Tome and Principe",1969,2,0.0736922447628532,2661096.681735,0.0311530864210865,5093592.60216805,0.0502295325694892,3874119.31910505,0.134612415951617,6770068.55128461,0.0766210079539475,8502576.39711344,0.0258447597450792,4791381.78610157,0.0429620534205854,5863757.87932496,0.0638334163976576,12669089.5123736,0.0415548987699253,7202243.64406233,0.0736922447628532,2661096.681735
"Samoa",1993,2,0.0672196211143405,7999634.86967701,0.0641740543280477,7423020.98981442,0.0338521049892918,8093166.83194606,0.0359114360720007,11450162.0507332,0.149872179208929,9482946.48442664,0.0197009779921844,8769880.22973565,0.0255046705115102,8256974.55485374,0.0241318613223281,6348527.95790449,0.0260911310676604,9227241.44724195,0.0672196211143405,7999634.86967701
"Guadeloupe",1993,2,0.160979521673764,11893821.3972546,0.0723506024218364,6585442.11965804,0.0311494231853122,7644560.69745115,0.0283457695590225,9850345.28871666,0.08715069724352,6384772.56600849,0.02166476090978,8063578.87390727,0.0220423880608113,7036421.62004314,0.0226884493811882,7837726.63584734,0.0192085692054346,7140137.48848206,0.160979521673764,11893821.3972546
"Afghanistan",1961,3,0.0715388976803399,3579684.49954327,0.0217376891466341,4447263.8691272,0.12006011354794,4087711.19959821,0.0454338966309375,7156723.65766255,0.0549419629627546,3858445.05508113,0.0303246367268102,3293868.84722223,0.0437243040276459,3421982.24244586,0.0264922508948806,6821666.20485221,0.0262922597181054,7923051.06221197,0.0715388976803399,3579684.49954327
