"Region","Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec","sdTemp","sdPrec"
"FR81","FRA",1998,15.9261355267426,17.4884677463619,17.4709304550653,11625.4273965543,17178.7891705808,17200.6946992053,133901,34058784,33924883,3.55707563427917,0.120653020401076,9.028,-36.5701879503919,-9.10905096010508,5.42207562170314,2.03215307771617
"FR43","FRA",1998,9.77314919725731,18.6493310918712,18.704399544971,22141.5372114505,18633.4657628084,18617.2669463974,156078,33819108,33663030,4.74618987563758,0.120653020401076,9.028,-24.0811151394698,-8.00096007324867,2.423687866836,4.48738580244082
"UKF","GBR",1978,12.636890835608,12.2563152653483,12.1247152209812,16019.5415121551,11890.519336665,11797.443919103,238060,10428410,10190350,1,0.209528168309043,0.803,-21.5867044897429,-22.4030016025701,0.049819884,0.43253046
"UKE","GBR",1978,17.7269459678345,12.2563152653483,12.05019489671,16402.8502152352,11890.519336665,11784.8416038802,247450,10428410,10180960,1,0.209528168309043,0.803,-22.2248262668831,-17.2506302828856,0.26599115,1.30092297
"UKG","GBR",1978,15.1762879404199,12.2563152653483,12.1313523169415,15953.3156769004,11890.519336665,11831.4096305203,152320,10428410,10276090,1,0.209528168309043,0.803,-19.7915606963601,-19.0333822079646,0.21792242,0.70927418
"UKN","GBR",1978,10.7986363905739,13.7644483638064,13.7177489140631,14169.3571253096,12456.9677395002,12447.7847467847,62340,11640180,11577840,1.68678153905921,0.209528168309043,0.803,-18.7986074252831,-11.9060604089039,0.21955942,1.8803759
"UKM","GBR",1978,15.2550433783094,13.7644483638064,13.0659730795369,16068.5986065404,12456.9677395002,12305.6666584123,464300,11640180,11175880,1.29483506083361,0.209528168309043,0.803,-16.7963860301699,-17.0283960954994,0.62745165,8.6923751
"UKL","GBR",1978,16.6520987846268,13.7644483638064,13.7258128076301,15200.8631696992,12456.9677395002,12442.8292059555,60030,11640180,11580150,1.37711882982941,0.209528168309043,0.803,-18.4128525743175,-17.2719169391886,0.85617148,2.6747848
"UKK","GBR",1978,17.0131775636999,12.2563152653483,12.0828116728187,15763.9662776191,11890.519336665,11803.0584140226,232720,10428410,10195690,1,0.209528168309043,0.803,-18.077766073904,-13.454364297443,0.22737157,1.5225613
"UKG","GBR",1988,15.8688840389087,13.9211033665387,13.8209765560176,18321.7288248694,13178.3735402759,13120.7485108237,97970,8505690,8407720,1,0.216169181285641,0.883,-18.5032835073578,-8.34785058297424,0.22370824,0.70849947
"UKF","GBR",1988,16.3478792905647,13.9211033665387,13.6775281157988,18514.0989296644,13178.3735402759,13098.3956743826,131720,8505690,8373970,1,0.216169181285641,0.883,-18.7013252509417,-6.28749767987112,0.068693387,0.45711097
"UKE","GBR",1988,21.4208029009321,13.9211033665387,13.660366216084,19705.6465810711,13178.3735402759,13067.73443616,145970,8505690,8359720,1,0.216169181285641,0.883,-17.3601590242339,-8.63743702984827,0.23541471,1.43060255
"UKL","GBR",1988,14.0316593947327,13.9211033665387,13.8787968682126,15792.7729602711,13178.3735402759,13167.4374253229,36980,8505690,8468710,1,0.216169181285641,0.883,-17.6780049889775,-8.873066347847,0.80722866,3.0050553
"UKK","GBR",1988,22.6366466349368,13.9211033665387,13.6477311542327,17167.5506295934,13178.3735402759,13106.616111363,154690,8505690,8351000,1,0.216169181285641,0.883,-17.5086778142448,-10.7494762914362,0.18518699,1.58035863
